case_id,region,province,category,type,activities,precision_at_10
1,ภาคเหนือ,เชียงใหม่,ธรรมชาติ,น้ำตก,"ถ่ายรูป, ชมธรรมชาติ",1.0
2,ภาคเหนือ,เชียงใหม่,ประวัติศาสตร์และวัฒนธรรม,วัดและศาสนสถาน,"ไหว้พระ, ถ่ายรูป",0.0
3,ภาคเหนือ,เชียงใหม่,กิจกรรมพิเศษ/นันทนาการ,สุขภาพและสปา,"สปา, พักผ่อน",1.0
4,ภาคเหนือ,เชียงราย,ธรรมชาติ,ภูเขา,"ชมวิว, ถ่ายรูป",1.0
5,ภาคเหนือ,เชียงราย,ประวัติศาสตร์และวัฒนธรรม,วัดและศาสนสถาน,"ไหว้พระ, เรียนรู้วัฒนธรรม",1.0
6,ภาคเหนือ,แม่ฮ่องสอน,ธรรมชาติ,หมู่บ้าน,"เรียนรู้วัฒนธรรม, พักผ่อน",0.0
7,ภาคเหนือ,น่าน,ธรรมชาติ,อุทยานแห่งชาติ,"เดินป่า, ถ่ายรูป",0.0
8,ภาคเหนือ,ลำปาง,ประวัติศาสตร์และวัฒนธรรม,วัดและศาสนสถาน,"ไหว้พระ, เรียนรู้ประวัติศาสตร์",0.0
9,ภาคเหนือ,ลำพูน,ประวัติศาสตร์และวัฒนธรรม,โบราณสถาน,"เรียนรู้ประวัติศาสตร์, ถ่ายรูป",1.0
10,ภาคเหนือ,สุโขทัย,ประวัติศาสตร์และวัฒนธรรม,อุทยานประวัติศาสตร์,"เรียนรู้ประวัติศาสตร์, ถ่ายรูป",0.3
11,ภาคเหนือ,กำแพงเพชร,ประวัติศาสตร์และวัฒนธรรม,โบราณสถาน,"เรียนรู้ประวัติศาสตร์, ถ่ายรูป",1.0
12,ภาคเหนือ,ตาก,ธรรมชาติ,น้ำตก,"เล่นน้ำ, ถ่ายรูป",1.0
13,ภาคเหนือ,พิษณุโลก,ธรรมชาติ,อุทยานแห่งชาติ,"เดินป่า, ชมธรรมชาติ",1.0
14,ภาคเหนือ,เพชรบูรณ์,ธรรมชาติ,ภูเขา,"ชมวิว, พักผ่อน",0.1
15,ภาคเหนือ,แพร่,ประวัติศาสตร์และวัฒนธรรม,พิพิธภัณฑ์,"เรียนรู้, ถ่ายรูป",1.0
