region,province,category,place_type,activities,case_type,precision@10,recall@10,f1@10,hit_rate@10,relevant_count
ภาคเหนือ,พิษณุโลก,กิจกรรมพิเศษ/นันทนาการ,ไร่และสวน,"['ถ่ายรูป', 'เรียนรู้เกษตร']",เลือกจังหวัด,0.2,1.0,0.33333333333333337,1,2
ภาคใต้,พังงา,ประวัติศาสตร์และวัฒนธรรม,ศูนย์การเรียนรู้,['ท่องเที่ยว'],เลือกจังหวัด,0.4,1.0,0.5714285714285715,1,4
ภาคเหนือ,อุทัยธานี,ธรรมชาติ,เขื่อน/อ่างเก็บน้ำ,['ท่องเที่ยว'],เลือกจังหวัด,0.3,1.0,0.4615384615384615,1,3
ภาคใต้,ภูเก็ต,ประวัติศาสตร์และวัฒนธรรม,หมู่บ้าน,['ท่องเที่ยว'],เลือกจังหวัด,0.2,1.0,0.33333333333333337,1,2
ภาคเหนือ,เชียงราย,ประวัติศาสตร์และวัฒนธรรม,อนุสาวรีย์/อนุสรณ์สถาน,['ท่องเที่ยว'],เลือกจังหวัด,0.4,1.0,0.5714285714285715,1,4
ภาคใต้,นราธิวาส,ธรรมชาติ,ทุ่งดอกไม้และพืชพันธุ์,['ท่องเที่ยว'],เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคเหนือ,กำแพงเพชร,ประวัติศาสตร์และวัฒนธรรม,โบราณสถาน,"['เรียนรู้ประวัติศาสตร์', 'ถ่ายรูป']",เลือกจังหวัด,0.3,1.0,0.4615384615384615,1,3
ภาคเหนือ,ลำพูน,ประวัติศาสตร์และวัฒนธรรม,ศูนย์หัตถกรรม,['ท่องเที่ยว'],เลือกจังหวัด,0.3,1.0,0.4615384615384615,1,3
ภาคใต้,ชุมพร,ธรรมชาติ,หมู่เกาะ,['ท่องเที่ยว'],เลือกจังหวัด,1.0,0.5555555555555556,0.7142857142857143,1,18
ภาคเหนือ,น่าน,กิจกรรมพิเศษ/นันทนาการ,ศูนย์ประชุมฯ,['ท่องเที่ยว'],เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคใต้,สงขลา,กิจกรรมพิเศษ/นันทนาการ,สวนสัตว์,"['ดูสัตว์', 'ถ่ายรูป']",เลือกจังหวัด,0.3,1.0,0.4615384615384615,1,3
ภาคเหนือ,แม่ฮ่องสอน,ประวัติศาสตร์และวัฒนธรรม,โบราณสถาน,"['เรียนรู้ประวัติศาสตร์', 'ถ่ายรูป']",เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคใต้,พังงา,ธรรมชาติ,วนอุทยาน,['ท่องเที่ยว'],เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคเหนือ,เชียงราย,ธรรมชาติ,ถ้ำ,['ท่องเที่ยว'],เลือกจังหวัด,0.5,1.0,0.6666666666666666,1,5
ภาคเหนือ,เชียงใหม่,ธรรมชาติ,น้ำพุร้อน,"['แช่น้ำ', 'พักผ่อน']",เลือกจังหวัด,0.9,1.0,0.9473684210526316,1,9
ภาคเหนือ,ตาก,ประวัติศาสตร์และวัฒนธรรม,ชุมชน,"['เรียนรู้วัฒนธรรม', 'ถ่ายรูป']",เลือกจังหวัด,0.4,1.0,0.5714285714285715,1,4
ภาคใต้,สตูล,ธรรมชาติ,ทุ่งดอกไม้และพืชพันธุ์,['ท่องเที่ยว'],เลือกจังหวัด,0.2,1.0,0.33333333333333337,1,2
ภาคใต้,ระนอง,กิจกรรมพิเศษ/นันทนาการ,ไร่และสวน,"['ถ่ายรูป', 'เรียนรู้เกษตร']",เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคเหนือ,เชียงใหม่,ธรรมชาติ,ถ้ำ,['ท่องเที่ยว'],เลือกจังหวัด,0.9,1.0,0.9473684210526316,1,9
ภาคเหนือ,เชียงราย,ธรรมชาติ,แม่น้ำและคลอง,"['ล่องเรือ', 'ถ่ายรูป']",เลือกจังหวัด,0.4,1.0,0.5714285714285715,1,4
ภาคเหนือ,เพชรบูรณ์,ธรรมชาติ,เขื่อน/อ่างเก็บน้ำ,['ท่องเที่ยว'],เลือกจังหวัด,0.3,1.0,0.4615384615384615,1,3
ภาคเหนือ,ลำปาง,กิจกรรมพิเศษ/นันทนาการ,โครงการหลวง,['ท่องเที่ยว'],เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคใต้,พัทลุง,กิจกรรมพิเศษ/นันทนาการ,ไร่และสวน,"['ถ่ายรูป', 'เรียนรู้เกษตร']",เลือกจังหวัด,0.2,1.0,0.33333333333333337,1,2
ภาคใต้,พัทลุง,ธรรมชาติ,เขตรักษาพันธุ์สัตว์ป่า,['ท่องเที่ยว'],เลือกจังหวัด,0.1,1.0,0.18181818181818182,1,1
ภาคเหนือ,ลำพูน,ธรรมชาติ,อุทยานแห่งชาติ,"['เดินป่า', 'ชมธรรมชาติ']",เลือกจังหวัด,0.3,1.0,0.4615384615384615,1,3
ภาคใต้,,ธรรมชาติ,จุดชมวิว,"['ชมวิว', 'ถ่ายรูป']",ไม่เลือกจังหวัด,1.0,0.08333333333333333,0.15384615384615385,1,120
ภาคใต้,,ประวัติศาสตร์และวัฒนธรรม,พิพิธภัณฑ์,"['เรียนรู้', 'ถ่ายรูป']",ไม่เลือกจังหวัด,1.0,0.2222222222222222,0.3636363636363636,1,45
ภาคใต้,,ธรรมชาติ,หมู่เกาะ,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.08547008547008547,0.15748031496062995,1,117
ภาคเหนือ,,กิจกรรมพิเศษ/นันทนาการ,สวนสาธารณะ/สวนหย่อม,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.35714285714285715,0.5263157894736842,1,28
ภาคใต้,,ประวัติศาสตร์และวัฒนธรรม,ประวัติความเป็นมา,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.21739130434782608,0.3571428571428571,1,46
ภาคเหนือ,,ประวัติศาสตร์และวัฒนธรรม,ประวัติความเป็นมา,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.18518518518518517,0.3125,1,54
ภาคเหนือ,,ประวัติศาสตร์และวัฒนธรรม,อนุสาวรีย์/อนุสรณ์สถาน,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.3333333333333333,0.5,1,30
ภาคเหนือ,,ประวัติศาสตร์และวัฒนธรรม,อนุสาวรีย์/อนุสรณ์สถาน,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.3333333333333333,0.5,1,30
ภาคใต้,,ธรรมชาติ,อ่าว/หาดทราย/ชายทะเล,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.07633587786259542,0.14184397163120568,1,131
ภาคเหนือ,,ธรรมชาติ,น้ำพุร้อน,"['แช่น้ำ', 'พักผ่อน']",ไม่เลือกจังหวัด,1.0,0.25,0.4,1,40
ภาคเหนือ,,กิจกรรมพิเศษ/นันทนาการ,สวนสาธารณะ/สวนหย่อม,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.35714285714285715,0.5263157894736842,1,28
ภาคใต้,,ธรรมชาติ,ทุ่งดอกไม้และพืชพันธุ์,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.9090909090909091,0.9523809523809523,1,11
ภาคเหนือ,,ธรรมชาติ,ภูเขา,"['เดินป่า', 'ชมวิว']",ไม่เลือกจังหวัด,1.0,0.2777777777777778,0.4347826086956522,1,36
ภาคใต้,,ธรรมชาติ,ถ้ำ,['ท่องเที่ยว'],ไม่เลือกจังหวัด,1.0,0.23255813953488372,0.37735849056603776,1,43
ภาคเหนือ,,ประวัติศาสตร์และวัฒนธรรม,ชุมชน,"['เรียนรู้วัฒนธรรม', 'ถ่ายรูป']",ไม่เลือกจังหวัด,1.0,0.12048192771084337,0.21505376344086022,1,83
